ID,Xshape,Yshape,File_Extension
602,300,399,jpg
603,300,225,jpg
604,300,450,jpg
605,300,450,jpg
606,300,199,jpg
607,300,441,jpg
608,300,225,jpg
609,300,387,jpg
610,300,450,jpg
611,300,200,jpg
612,300,436,jpg
613,300,225,jpg
614,300,451,jpg
615,300,213,jpg
616,300,534,jpg
617,300,376,jpg
618,300,400,jpg
619,300,232,jpg
620,300,199,jpg
621,300,450,jpg
622,300,429,jpg
623,300,287,jpg
624,300,225,jpg
625,300,225,jpg
626,300,563,jpg
627,300,463,jpg
628,300,199,jpg
629,300,199,jpg
630,300,451,jpg
631,300,389,jpg
632,300,451,jpg
633,300,260,jpg
634,300,435,jpg
635,300,534,jpg
636,300,450,jpg
637,300,450,jpg
638,300,190,jpg
639,300,437,jpg
640,300,400,jpg
641,300,534,jpg
642,300,437,jpg
643,300,168,jpg
644,300,436,jpg
645,300,225,jpg
646,300,168,jpg
647,300,345,jpg
648,300,450,jpg
649,300,451,jpg
650,300,377,jpg
651,300,375,jpg
652,300,240,jpg
653,300,450,jpg
654,300,448,jpg
655,300,450,jpg
656,300,450,jpg
657,300,400,jpg
658,300,199,jpg
659,300,240,jpg
660,300,430,jpg
661,300,450,jpg
662,300,445,jpg
663,300,400,jpg
664,300,400,jpg
665,300,196,jpg
666,300,199,jpg
667,300,824,jpg
668,300,199,jpg
669,300,400,jpg
670,300,389,jpg
671,300,400,jpg
672,300,220,jpg
673,300,451,jpg
674,300,514,jpg
675,300,493,jpg
676,300,400,jpg
677,300,400,jpg
678,300,400,jpg
679,300,423,jpg
680,300,203,jpg
681,300,458,jpg
682,300,400,jpg
683,300,199,jpg
684,300,198,jpg
685,300,400,jpg
686,300,200,jpg
687,300,451,jpg
688,300,400,jpg
689,300,450,jpg
690,300,200,jpg
691,300,300,jpg
692,300,450,jpg
693,300,505,jpg
694,300,225,jpg
695,300,201,jpg
696,300,199,jpg
697,300,240,jpg
698,300,199,jpg
699,300,451,jpg
700,300,254,jpg
701,300,451,jpg
702,300,451,jpg
703,300,420,jpg
704,300,451,jpg
705,300,542,jpg
706,300,449,jpg
707,300,297,jpg
708,300,475,jpg
709,300,450,jpg
710,300,449,jpg
711,300,553,jpg
712,300,451,jpg
713,300,450,jpg
714,300,406,jpg
715,300,450,jpg
716,300,191,jpg
717,300,450,jpg
718,300,453,jpg
719,300,225,jpg
720,300,258,jpg
721,300,365,jpg
722,300,449,jpg
723,300,534,jpg
724,300,445,jpg
725,300,401,jpg
726,300,446,jpg
727,300,168,jpg
728,300,255,jpg
729,300,533,jpg
730,300,470,jpg
731,300,199,jpg
732,300,456,jpg
733,300,247,jpg
734,300,215,jpg
735,300,412,jpg
736,300,433,jpg
737,300,200,jpg
738,300,311,jpg
739,300,471,jpg
740,300,380,jpg
741,300,199,jpg
742,300,411,jpg
743,300,450,jpg
744,300,534,jpg
745,300,413,jpg
746,300,391,jpg
747,300,451,jpg
748,300,451,jpg
749,300,400,jpg
750,300,296,jpg
751,300,401,jpg
752,300,450,jpg
753,300,478,jpg
754,300,400,jpg
755,300,400,jpg
756,300,179,jpg
757,300,200,jpg
758,300,449,jpg
759,300,458,jpg
760,300,435,jpg
761,300,484,jpg
762,300,451,jpg
763,300,436,jpg
764,300,450,jpg
765,300,451,jpg
766,300,451,jpg
767,300,421,jpg
768,300,448,jpg
769,300,200,jpg
770,300,450,jpg
771,300,425,jpg
772,300,448,jpg
773,300,215,jpg
774,300,447,jpg
775,300,450,jpg
776,300,400,jpg
777,300,246,jpg
778,300,400,jpg
779,300,501,jpg
780,300,613,jpg
781,300,516,jpg
782,300,199,jpg
783,300,451,jpg
784,300,447,jpg
785,300,409,jpg
786,300,480,jpg
787,300,454,jpg
788,300,225,jpg
789,300,394,jpg
790,300,400,jpg
791,300,225,jpg
792,300,380,jpg
793,300,450,jpg
794,300,450,jpg
795,300,451,jpg
796,300,300,jpg
797,300,469,jpg
798,300,200,jpg
799,300,451,jpg
800,300,451,jpg
801,300,202,jpg
802,300,393,jpg
803,300,199,jpg
804,300,451,jpg
805,300,450,jpg
